"lake.name","Year","avg","stdev"
"Indian",2005,0.03,0.014142135623731
"Indian",2006,0.025,0.00707106781186547
"Indian",2007,0.005,0.00707106781186548
"Indian",2008,0.155,0.120208152801713
"Indian",2010,0.01,0
"Indian",2011,0.01,0
"Indian",2012,0.01,NA
"Jockeybush",1994,0,0
"Jockeybush",1995,0.0133333333333333,0.0152752523165195
"Jockeybush",1996,0.00666666666666667,0.00577350269189626
"Jockeybush",1997,0,0
"Jockeybush",1998,0,0
"Jockeybush",1999,0.05,0.0565685424949238
"Jockeybush",2000,0,0
"Jockeybush",2001,0,0
"Jockeybush",2002,0.005,0.00707106781186548
"Jockeybush",2003,0,0
"Jockeybush",2004,0,0
"Jockeybush",2005,0.01,NA
"Jockeybush",2006,0,0
"Jockeybush",2007,0,0
"Jockeybush",2008,0,NA
"Jockeybush",2010,0,NA
"Jockeybush",2011,0.005,0.00707106781186548
"Jockeybush",2012,0,NA
"Limekiln",1994,0.0366666666666667,0.0305505046330389
"Limekiln",1995,0.00666666666666667,0.00577350269189626
"Limekiln",1996,0.0233333333333333,0.0152752523165195
"Limekiln",1997,0.01,0
"Limekiln",1998,0.01,0
"Limekiln",1999,0.015,0.00707106781186548
"Limekiln",2000,0.01,0
"Limekiln",2001,0.025,0.00707106781186547
"Limekiln",2002,0.02,0.014142135623731
"Limekiln",2003,0.015,0.00707106781186548
"Limekiln",2004,0.065,0.0494974746830583
"Limekiln",2005,0.015,0.00707106781186548
"Limekiln",2006,0.04,0.014142135623731
"Limekiln",2007,0.02,0.014142135623731
"Limekiln",2008,0.01,0.014142135623731
"Limekiln",2010,0.005,0.00707106781186548
"Limekiln",2011,0.01,0
"Limekiln",2012,0.02,NA
"Long",1994,0.0933333333333333,0.101159939369957
"Long",1995,0.0633333333333333,0.0665832811847939
"Long",1996,0.16,0.0519615242270663
"Long",1997,0.1,0.0565685424949238
"Long",1998,0.065,0.0777817459305202
"Long",1999,0.13,0.0707106781186548
"Long",2000,0.125,0.0353553390593274
"Long",2001,0.055,0.0353553390593274
"Long",2002,0.08,0.0989949493661166
"Long",2003,0.08,0.0141421356237309
"Long",2004,0.12,0.14142135623731
"Long",2005,0.145,0.0777817459305202
"Long",2006,0.12,0.0282842712474619
"Loon Hollow",1994,0.06,0.062449979983984
"Loon Hollow",1995,0.01,0.01
"Loon Hollow",1996,0.113333333333333,0.128582010146573
"Loon Hollow",1997,0.125,0.134350288425444
"Loon Hollow",1998,0.055,0.0212132034355964
"Loon Hollow",1999,0.045,0.00707106781186548
"Loon Hollow",2000,0.035,0.0212132034355964
"Loon Hollow",2001,0.03,0.0282842712474619
"Loon Hollow",2002,0.01,0
"Loon Hollow",2003,0.145,0.0777817459305202
"Loon Hollow",2004,0.045,0.0212132034355964
"Loon Hollow",2005,0.05,0
"Loon Hollow",2006,0.065,0.0353553390593274
"Middle Branch",1994,0.0433333333333333,0.0251661147842358
"Middle Branch",1995,0.0233333333333333,0.023094010767585
"Middle Branch",1996,0.0933333333333333,0.00577350269189626
"Middle Branch",1997,0.03,0.014142135623731
"Middle Branch",1998,0.015,0.00707106781186548
"Middle Branch",1999,0.175,0.205060966544099
"Middle Branch",2000,0.105,0.0919238815542512
"Middle Branch",2001,0.01,0.014142135623731
"Middle Branch",2002,0.04,0
"Middle Branch",2003,0.02,0
"Middle Branch",2004,0.01,0
"Middle Branch",2005,0.065,0.0353553390593274
"Middle Branch",2006,0.025,0.00707106781186547
"Middle Settlement",1994,0.603333333333333,0.507969815376203
"Middle Settlement",1995,0.02,0.014142135623731
"Middle Settlement",1996,0.0933333333333333,0.0850490054811538
"Middle Settlement",1997,0.03,0.0424264068711929
"Middle Settlement",1998,0.015,0.00707106781186548
"Middle Settlement",1999,0.005,0.00707106781186548
"Middle Settlement",2000,0.01,0
"Middle Settlement",2001,0.08,0.0282842712474619
"Middle Settlement",2002,0.005,0.00707106781186548
"Middle Settlement",2003,0.1,NA
"Middle Settlement",2004,0.015,0.00707106781186548
"Middle Settlement",2005,0.075,0.106066017177982
"Middle Settlement",2006,0.02,0.014142135623731
"Middle Settlement",2007,0.415,0.388908729652601
"Middle Settlement",2008,0.01,NA
"Moss",1994,0.0133333333333333,0.0152752523165195
"Moss",1995,0.03,0.01
"Moss",1996,0.0266666666666667,0.00577350269189626
"Moss",1997,0.01,0
"Moss",1998,0.015,0.00707106781186548
"Moss",1999,0.07,0.0565685424949238
"Moss",2000,0.02,0.014142135623731
"Moss",2001,0.02,0
"Moss",2002,0.02,0.014142135623731
"Moss",2003,0.025,0.0212132034355964
"Moss",2004,0.025,0.00707106781186547
"Moss",2005,0.04,0
"Moss",2006,0,NA
"Moss",2007,0.075,0.0353553390593274
"Moss",2008,0.115,0.0212132034355964
"Moss",2010,0.025,0.0212132034355964
"Moss",2011,0.06,0.0565685424949238
"Moss",2012,0.03,NA
"North",1994,0.01,0.01
"North",1995,0.00666666666666667,0.00577350269189626
"North",1996,0.0233333333333333,0.00577350269189626
"North",1997,0.015,0.00707106781186548
"North",1998,0.015,0.00707106781186548
"North",1999,0.015,0.00707106781186548
"North",2000,0.06,0.0707106781186548
"North",2001,0.04,0.014142135623731
"North",2002,0.01,0
"North",2003,0.02,0.014142135623731
"North",2004,0.005,0.00707106781186548
"North",2005,0.01,0.014142135623731
"North",2006,0.06,0.0707106781186548
"North",2007,0.01,0
"North",2008,0.0433333333333333,0.0665832811847939
"North",2010,0.04,0.014142135623731
"North",2011,0.035,0.0494974746830583
"North",2012,0.04,NA
"Queer",1994,0.00666666666666667,0.00577350269189626
"Queer",1995,0.00666666666666667,0.00577350269189626
"Queer",1996,0.01,0
"Queer",1997,0.005,0.00707106781186548
"Queer",1998,0.03,0.014142135623731
"Queer",1999,0.035,0.00707106781186548
"Queer",2000,0.01,0
"Queer",2001,0.01,0
"Queer",2002,0.01,0.014142135623731
"Queer",2003,0.02,0.014142135623731
"Queer",2004,0.015,0.00707106781186548
"Queer",2005,0.01,0
"Queer",2006,0.01,0
"Raquette",1994,0.0233333333333333,0.00577350269189626
"Raquette",1995,0.00666666666666667,0.00577350269189626
"Raquette",1996,0.02,0.01
"Raquette",1998,0.06,0.014142135623731
"Raquette",1999,0.12,0.0282842712474619
"Raquette",2000,0.025,0.0212132034355964
"Raquette",2001,0.065,0.00707106781186548
"Raquette",2002,0.015,0.00707106781186548
"Raquette",2003,0.175,0.0494974746830583
