 ,Area,Mean,Min,Max,Angle,Length
1,1.391E-4,33.806,2.061,80.070,-80.218,0.110
2,2.094E-4,79.664,0.529,180.460,105.293,0.166
3,1.172E-4,53.286,4.611,154.000,-66.903,0.092
4,1.609E-4,46.673,2.072,152.000,-68.720,0.127
5,9.844E-5,62.089,21.096,112.000,-103.134,0.077
6,1.547E-4,46.369,1.938,121.412,130.855,0.122
7,1.266E-4,76.168,20.980,183.000,-64.722,0.100
8,1.203E-4,39.837,1.263,89.474,96.009,0.096
9,1.359E-4,33.937,1.121,108.848,68.199,0.108
10,1.812E-4,69.119,6.550,209.000,56.310,0.144
