 ,Area,Mean,Min,Max
1,0.008,50.739,0,215
2,0.018,124.453,8,234
3,0.013,78.028,0,218
4,0.004,86.309,0,197
5,0.007,85.137,0,222
6,0.015,94.553,2,219
7,0.117,116.185,0,234
8,0.002,146.895,53,225
9,0.007,176.455,73,238
10,0.010,117.210,8,240
