 ,Area,Mean,Min,Max
1,0.080,203.365,48,246
2,0.114,202.994,78,243
3,0.064,223.514,103,246
4,0.049,231.175,110,248
5,0.049,223.731,102,246
6,0.097,210.958,76,243
7,0.087,211.106,37,246
8,0.023,231.513,127,248
9,0.010,180.857,106,238
10,0.036,145.841,24,255
